tag	karray	ϵs	psi
1	-0.062	-16.890671857173977	2
1	-0.061	-16.630102348802914	2
1	-0.06	-16.37399579939029	2
1	-0.059	-16.12561729733409	2
1	-0.058	-15.893374264135963	2
1	-0.057	-15.699463371701677	2
1	-0.056	-15.57624953413173	2
1	-0.055	-15.517514284883624	2
1	-0.054	-15.49023522661334	2
1	-0.053	-15.47507235908034	2
1	-0.052	-15.356037269331319	2
1	-0.051	-15.08750228583527	2
1	-0.05	-14.817140732031428	2
1	-0.049	-14.547846016502609	2
1	-0.048	-14.280158614233663	2
1	-0.047	-14.014591293947863	2
1	-0.046	-13.752009496235862	2
1	-0.045	-13.494280380761749	2
1	-0.044	-13.246471210875901	2
1	-0.043	-13.026072009238556	2
1	-0.042	-12.885978644102071	2
1	-0.041	-12.84890314577016	2
1	-0.04	-12.853181345765787	2
1	-0.039	-12.814540636060535	2
1	-0.038	-12.573432627209645	2
1	-0.037	-12.30770144006757	2
1	-0.036	-12.041814565834326	2
1	-0.035	-11.777985831743408	2
1	-0.034	-11.517531919316225	2
1	-0.033	-11.262800148102954	2
1	-0.032	-11.021191636946345	2
1	-0.031	-10.827826330878205	2
1	-0.03	-10.762355076620453	2
1	-0.029	-10.773161542503871	2
1	-0.028	-10.791032322047556	2
1	-0.027	-10.72286641557207	2
1	-0.026	-10.508224207870558	2
1	-0.025	-10.2713655964266	2
1	-0.024	-10.034733025062925	2
1	-0.023	-9.802049144038998	2
1	-0.022	-9.57545507641562	2
1	-0.021	-9.358869257202196	2
1	-0.02	-9.170132240258177	2
1	-0.019	-9.087783926112165	2
1	-0.018	-9.096631416931702	2
1	-0.017	-9.121869843862182	2
1	-0.016	-9.148546883907798	2
1	-0.015	-9.17170474268446	2
1	-0.014	-9.184268472707815	2
1	-0.013	-9.165287149838264	2
1	-0.012	-9.085457720395326	2
1	-0.011	-8.970196876743227	2
1	-0.01	-8.850583620416579	2
1	-0.009	-8.736641405882967	2
1	-0.008	-8.631679403338678	2
1	-0.007	-8.53718455366676	2
1	-0.006	-8.454022708633918	2
1	-0.005	-8.382781669193697	2
1	-0.004	-8.32390684061757	2
1	-0.003	-8.277748210929326	2
1	-0.002	-8.244575102304575	2
1	-0.001	-8.224588274155602	2
1	0.0	-8.21791186405248	2
1	0.001	-8.224588341953265	2
1	0.002	-8.244575216360152	2
1	0.003	-8.277748286358142	2
1	0.004	-8.323906840677052	2
1	0.005	-8.382781614758818	2
1	0.006	-8.45402258474497	2
1	0.007	-8.537184881701952	2
1	0.008	-8.631679330507716	2
1	0.009	-8.736641296248749	2
1	0.01	-8.8505834852056	2
1	0.011	-8.970196760291566	2
1	0.012	-9.085457425401627	2
1	0.013	-9.16528701762532	2
1	0.014	-9.184267533334618	2
1	0.015	-9.171705001186433	2
1	0.016	-9.148546845309017	2
1	0.017	-9.121869783372258	2
1	0.018	-9.096631298330115	2
1	0.019	-9.087783958711615	2
1	0.02	-9.170132391181555	2
1	0.021	-9.358868941102035	2
1	0.022	-9.575454976152994	2
1	0.023	-9.802049713861877	2
1	0.024	-10.034732989096703	2
1	0.025	-10.2713716838759	2
1	0.026	-10.508226956927407	2
1	0.027	-10.72286818542234	2
1	0.028	-10.791032267265164	2
1	0.029	-10.773160653702691	2
1	0.03	-10.762354929845774	2
1	0.031	-10.827825810488498	2
1	0.032	-11.021191489676099	2
1	0.033	-11.262800099456788	2
1	0.034	-11.517531823229438	2
1	0.035	-11.777985893025843	2
1	0.036	-12.041814636516852	2
1	0.037	-12.307701588852126	2
1	0.038	-12.57343262333854	2
1	0.039	-12.814540623849698	2
1	0.04	-12.853181265831967	2
1	0.041	-12.848903179987342	2
1	0.042	-12.885978837436674	2
1	0.043	-13.026072135445235	2
1	0.044	-13.246471398364505	2
1	0.045	-13.494280485620573	2
1	0.046	-13.752009315874105	2
1	0.047	-14.014591247936437	2
1	0.048	-14.280158591455754	2
1	0.049	-14.547846012066207	2
1	0.05	-14.817140778714695	2
1	0.051	-15.08750222555463	2
1	0.052	-15.356037368183571	2
1	0.053	-15.475072538178805	2
1	0.054	-15.490235266193347	2
1	0.055	-15.517514353011759	2
1	0.056	-15.576249521716765	2
1	0.057	-15.699463561910866	2
1	0.058	-15.893374337710398	2
1	0.059	-16.125617257858714	2
1	0.06	-16.373995846446604	2
1	0.061	-16.630102413203417	2
1	0.062	-16.89067185821454	2
1	0.063	-17.154256937327986	2
1	0.064	-17.420124372683794	2
1	0.065	-17.687870751294053	2
1	0.066	-17.95725076017927	2
1	0.067	-18.22810308729582	2
1	0.068	-18.50031035482255	2
1	0.069	-18.773749763254727	2
1	0.07	-19.04798553805499	2
1	0.071	-19.237019440822486	2
1	0.072	-19.31617828081757	2
1	0.073	-19.40067131182334	2
1	0.074	-19.49221608314723	2
1	0.075	-19.592554894815258	2
1	0.076	-19.704600599942868	2
1	0.077	-19.833592190425964	2
1	0.078	-19.987972488329927	2
1	0.079	-20.175632504465337	2
1	0.08	-20.395514337975012	2
1	0.081	-20.638447638916993	2
1	0.082	-20.895224101200363	2
1	0.083	-21.160340195955825	2
1	0.084	-21.430887348502125	2
1	0.085	-21.705317965220875	2
1	0.086	-21.98276318457046	2
1	0.087	-22.26270760076649	2
1	0.088	-22.54482974024841	2
1	0.089	-22.828921138887573	2
1	0.09	-23.11484131092704	2
1	0.091	-23.40248970111295	2
1	0.092	-23.69179491050587	2
1	0.093	-23.982703224259424	2
1	0.094	-24.275174047907672	2
1	0.095	-24.569177369430232	2
1	0.096	-24.86468733756718	2
1	0.097	-25.16168563953061	2
1	0.098	-25.46015479267169	2
1	0.099	-25.760081434875442	2
1	0.1	-26.06145315724536	2
1	0.101	-26.36426210349293	2
1	0.102	-26.66849774165197	2
1	0.103	-26.974154515713565	2
1	0.104	-27.281223249317463	2
1	0.105	-27.589700648920708	2
1	0.106	-27.899577469253995	2
1	0.107	-28.210849519614463	2
1	0.108	-28.52351079299939	2
1	0.109	-28.837554965379347	2
1	0.11	-29.152973659983182	2
1	0.111	-29.469757272059745	2
1	0.112	-29.7878784573163	2
1	0.113	-30.107242306385064	2
1	0.114	-30.426126017240634	2
1	0.115	-30.728802907955803	2
1	0.116	-31.03237667661639	2
1	0.117	-31.340666990994617	2
1	0.118	-31.6537602228197	2
1	0.119	-31.971633723881855	2
1	0.12	-32.29424471893602	2
1	0.121	-32.62154746208377	2
1	0.122	-32.95349201905511	2
1	0.123	-33.2900279978245	2
1	0.124	-33.63110429816993	2
1	0.125	-33.9766659523699	2
1	0.126	-34.32665561063389	2
1	0.127	-34.681004329775334	2
1	0.128	-35.03957827689931	2
1	0.129	-35.40017188545159	2
1	0.13	-35.744925293606265	2
1	0.131	-36.088504200591494	2
1	0.132	-36.43324360346549	2
1	0.133	-36.77922566211341	2
1	0.134	-37.12646039435615	2
1	0.135	-37.47494867183792	2
1	0.136	-37.82468819146903	2
1	0.137	-38.175675086806635	2
1	0.138	-38.527903995064776	2
1	0.139	-38.881370948339466	2
1	0.14	-39.23607086694932	2
1	0.141	-39.59199922554017	2
1	0.142	-39.949152276721506	2
1	0.143	-40.307525021454566	2
1	0.144	-40.667114492204234	2
1	0.145	-41.02791659406357	2
1	0.146	-41.389929768617215	2
1	0.147	-41.75315085837103	2
1	0.148	-42.11758079360078	2
1	0.149	-42.4832186817891	2
1	0.15	-42.850066259189425	2
1	-0.15	-41.26084922035675	3
1	-0.149	-40.812391191631015	3
1	-0.148	-40.36696080482167	3
1	-0.147	-39.92672439252751	3
1	-0.146	-39.55613644085138	3
1	-0.145	-39.188737427020826	3
1	-0.144	-38.822737588376626	3
1	-0.143	-38.45812805606352	3
1	-0.142	-38.094914403771284	3
1	-0.141	-37.73310253830118	3
1	-0.14	-37.372700974842594	3
1	-0.139	-37.01371719447277	3
1	-0.138	-36.65615918163395	3
1	-0.137	-36.300036448988344	3
1	-0.136	-35.94535664778978	3
1	-0.135	-35.59212978420091	3
1	-0.134	-35.24036481983015	3
1	-0.133	-34.89007045353839	3
1	-0.132	-34.541255595822804	3
1	-0.131	-34.19393198028274	3
1	-0.13	-33.84810734918827	3
1	-0.129	-33.503792140255975	3
1	-0.128	-33.16099667382361	3
1	-0.127	-32.81972996374086	3
1	-0.126	-32.480002502495566	3
1	-0.125	-32.14182352320975	3
1	-0.124	-31.805202237996696	3
1	-0.123	-31.470148661758866	3
1	-0.122	-31.136673402675985	3
1	-0.121	-30.804782915529625	3
1	-0.12	-30.47448681574197	3
1	-0.119	-30.145794890565828	3
1	-0.118	-29.818712974739245	3
1	-0.117	-29.493250823438228	3
1	-0.116	-29.169415346688652	3
1	-0.115	-28.847212001482923	3
1	-0.114	-28.52664922742316	3
1	-0.113	-28.2077317526615	3
1	-0.112	-27.890465993379323	3
1	-0.111	-27.57485815444142	3
1	-0.11	-27.260911577840016	3
1	-0.109	-26.948633756950354	3
1	-0.108	-26.638027553851398	3
1	-0.107	-26.3290982413661	3
1	-0.106	-26.02185027550248	3
1	-0.105	-25.7162887113292	3
1	-0.104	-25.412415883170176	3
1	-0.103	-25.110239745224355	3
1	-0.102	-24.809761782363974	3
1	-0.101	-24.510989264240802	3
1	-0.1	-24.21392439319318	3
1	-0.099	-23.918574757571395	3
1	-0.098	-23.624943237376506	3
1	-0.097	-23.333037392451857	3
1	-0.096	-23.042863429798594	3
1	-0.095	-22.754430272942876	3
1	-0.094	-22.467747176185107	3
1	-0.093	-22.182837327352427	3
1	-0.092	-21.899842012522324	3
1	-0.091	-21.668826882885234	3
1	-0.09	-21.487701425512142	3
1	-0.089	-21.312379093247355	3
1	-0.088	-21.14264530140941	3
1	-0.087	-20.978334315600833	3
1	-0.086	-20.819217397495525	3
1	-0.085	-20.664950719194547	3
1	-0.084	-20.51499229407699	3
1	-0.083	-20.36843852353852	3
1	-0.082	-20.223695343676702	3
1	-0.081	-20.077809260780402	3
1	-0.08	-19.925217010681457	3
1	-0.079	-19.756645729389586	3
1	-0.078	-19.562812528794634	3
1	-0.077	-19.342648120300595	3
1	-0.076	-19.103909313534942	3
1	-0.075	-18.854922454802367	3
1	-0.074	-18.600788888261533	3
1	-0.073	-18.34424066734817	3
1	-0.072	-18.08675209567589	3
1	-0.071	-17.82915836948217	3
1	-0.07	-17.57196026606236	3
1	-0.069	-17.315476068447776	3
1	-0.068	-17.059914216471714	3
1	-0.067	-16.80542665791629	3
1	-0.066	-16.55212588805453	3
1	-0.065	-16.30010291223606	3
1	-0.064	-16.04944822889224	3
1	-0.063	-15.800308587936676	3
1	-0.062	-15.55490876777362	3
1	-0.061	-15.487155496596849	3
1	-0.06	-15.45253212125652	3
1	-0.059	-15.416435319443378	3
1	-0.058	-15.369891318552146	3
1	-0.057	-15.290307709725193	3
1	-0.056	-15.144854617547654	3
1	-0.055	-14.939489959581412	3
1	-0.054	-14.706520811397972	3
1	-0.053	-14.463100375133653	3
1	-0.052	-14.215623100663267	3
1	-0.051	-13.966678680371269	3
1	-0.05	-13.717490369888276	3
1	-0.049	-13.46872873724305	3
1	-0.048	-13.220864338090358	3
1	-0.047	-12.974479651887588	3
1	-0.046	-12.73297308669984	3
1	-0.045	-12.637452680381063	3
1	-0.044	-12.640957696857297	3
1	-0.043	-12.624461431406639	3
1	-0.042	-12.53181042311728	3
1	-0.041	-12.339073831730477	3
1	-0.04	-12.10436925672345	3
1	-0.039	-11.857939824173735	3
1	-0.038	-11.608216835517768	3
1	-0.037	-11.358180895665166	3
1	-0.036	-11.10952380993475	3
1	-0.035	-10.864736216413599	3
1	-0.034	-10.63982192514761	3
1	-0.033	-10.566547657240411	3
1	-0.032	-10.57613969512128	3
1	-0.031	-10.550252201441065	3
1	-0.03	-10.401115842801746	3
1	-0.029	-10.177556133966007	3
1	-0.028	-9.939335749875381	3
1	-0.027	-9.699841939988712	3
1	-0.026	-9.463564150687205	3
1	-0.025	-9.235272461465733	3
1	-0.024	-9.032158786291633	3
1	-0.023	-8.92894354972855	3
1	-0.022	-8.928663800306174	3
1	-0.021	-8.948403423369436	3
1	-0.02	-8.951502028448546	3
1	-0.019	-8.855453967246499	3
1	-0.018	-8.674659900172962	3
1	-0.017	-8.483533819680572	3
1	-0.016	-8.296911935513394	3
1	-0.015	-8.11923919979428	3
1	-0.014	-7.954651043212295	3
1	-0.013	-7.811054531429517	3
1	-0.012	-7.705692917173514	3
1	-0.011	-7.654820549628741	3
1	-0.01	-7.642879594119735	3
1	-0.009	-7.646983534515779	3
1	-0.008	-7.656671340860727	3
1	-0.007	-7.6679423834673734	3
1	-0.006	-7.679091082624147	3
1	-0.005	-7.689276123991637	3
1	-0.004	-7.698034288453577	3
1	-0.003	-7.705086070935448	3
1	-0.002	-7.710244817225479	3
1	-0.001	-7.713389074614236	3
1	0.0	-7.71444530796332	3
1	0.001	-7.71338918579394	3
1	0.002	-7.710244994790346	3
1	0.003	-7.705086170763185	3
1	0.004	-7.698034164283471	3
1	0.005	-7.689276081289057	3
1	0.006	-7.679090946522939	3
1	0.007	-7.6679427002090685	3
1	0.008	-7.6566713059724005	3
1	0.009	-7.646983460344116	3
1	0.01	-7.642879444759727	3
1	0.011	-7.654820464254434	3
1	0.012	-7.705692761979455	3
1	0.013	-7.811054576873254	3
1	0.014	-7.954650606924867	3
1	0.015	-8.119239538301857	3
1	0.016	-8.296912045935663	3
1	0.017	-8.483533815967407	3
1	0.018	-8.674659619297898	3
1	0.019	-8.855453958526088	3
1	0.02	-8.951501790109429	3
1	0.021	-8.948406863782358	3
1	0.022	-8.928663596501604	3
1	0.023	-8.928943730229584	3
1	0.024	-9.032158392826474	3
1	0.025	-9.23527998590384	3
1	0.026	-9.463563744484704	3
1	0.027	-9.699843137299906	3
1	0.028	-9.93933520204535	3
